"","groupWnt1.OVX.b1","groupWnt1.OVX.b2","groupWnt1.OVX.b3","AveExpr","F","P.Value","adj.P.Val"
"Mslnl",0.000685392540708532,-0.0675525311025476,-0.047246145904561,0.0103573509732729,1.21030508677839,0.337721300611122,0.866556239395574
"Plxdc1",-0.0649160769110955,-0.107181811628061,0.0290952446993217,0.0199189801056506,1.21030016003846,0.337722985783566,0.866556239395574
"Dpcd",0.0213638215297629,-0.001992349852852,0.0419600984582828,0.00712248840835633,1.21018823107163,0.337761272980412,0.866556239395574
"P4ha2",0.0208748868445082,-0.0678831976100251,0.0363514385183116,0.0177663945757816,1.21006147761566,0.337804636521137,0.866556239395574
"Macc1",0.0366516410222445,0.101622664524775,0.0170802705218039,0.00985135106227921,1.2098472355947,0.337877943701641,0.866580135152958
"Atp6v1e1",-0.020357308194331,-0.117222849448002,-0.0585523824609876,0.0234352565380948,1.20917452709579,0.338108230414572,0.866926027316371
"Cpa5",-0.0225285575423763,-0.106156499819023,0.00667473346622334,0.00550166132372354,1.20907930214961,0.338140841551105,0.866926027316371
"Cetn4",-0.104285116350975,0.0138128305188444,-0.0103349531306362,0.0173453550944172,1.20881508427277,0.338231343615001,0.86699391543334
"Traf4",-0.0916225670085097,-0.070379403499498,0.00783170025032412,0.0162939824020431,1.20791247677876,0.338540699541089,0.867075917194147
"Olfr770",-0.0202642731611149,-0.0122465209084254,-0.0398886972909969,0.00583025330584393,1.20780567447245,0.338577323712284,0.867075917194147
"Asmt",-0.0202642731611149,-0.0122465209084254,-0.0398886972909969,0.00583025330584393,1.20780567447245,0.338577323712284,0.867075917194147
"Acap2",-0.0421589012891816,0.033493238176172,-0.0684021528785932,0.0230934453233998,1.20767581353581,0.33862186052008,0.867075917194147
"Shd",0.0665593537935367,0.111140257664945,0.0565737993843165,0.0210964660824486,1.20759295995699,0.338650278931954,0.867075917194147
"Ccdc92",-0.00307397017023424,-0.104766937947754,0.0393785840904475,0.0160644819037935,1.20737925104013,0.338723591437861,0.867075917194147
"Ncbp3",0.128719301401525,-0.00555829500448648,0.075187935330146,0.0635082424435684,1.20720840266037,0.338782212410397,0.867075917194147
"1700018F24Rik",-0.0565285813996782,0.0136614630052164,-0.0351157147901388,0.00718037895642467,1.20685850537569,0.338902300566176,0.867075917194147
"Btg4",0.0992846060583975,0.0756867653705516,0.0406127792421571,0.0234657102244156,1.20676394969019,0.338934760489213,0.867075917194147
"Carmil3",-0.00865140161245454,0.0424975614702525,0.0474335409213431,0.0085579358504691,1.20667273329235,0.338966077092617,0.867075917194147
"Syncrip",0.000890315456315295,0.13754144597114,0.000560587046300779,0.0173406768941285,1.20660608477049,0.338988960877609,0.867075917194147
"Strn4",-0.00348615446048312,0.0497778742161021,-0.0320089748208686,0.0077814830822236,1.20640430418759,0.33905825194408,0.867075917194147
"Ube2r2",-0.0364439774628537,-0.0762816276573168,0.0644228948898468,0.0295527894312706,1.2062952514146,0.339095706502747,0.867075917194147
"Nt5dc3",-0.0391605358312457,0.00593423370338537,0.0344428992866429,0.00634203078098599,1.20593824561022,0.339218351080199,0.867225771253174
"Pxdc1",-0.0905241473266423,0.0482110073742686,0.0110181275067527,0.0239226117179986,1.20551540293973,0.33936367186677,0.86733243235285
"Olfr481",0.0480786843870246,-0.075009199002395,0.0137876525022959,0.00984763572223571,1.20519431040009,0.339474066229933,0.86733243235285
"Ccdc84",0.0100836410442998,0.0968797026564368,-0.00633260100679094,0.0134678817105421,1.20498273139247,0.339546829023914,0.86733243235285
"Dazap2",-0.110345892629937,0.0193311986168499,-0.0301484896588869,0.0495418908802826,1.20454297900684,0.339698112626296,0.86733243235285
"Htr1b",0.0408945854480601,-0.0307975550109466,-0.0430393851525791,0.00981239783344409,1.20422950992272,0.339805994428484,0.86733243235285
"Tmprss11g",0.0643711371224944,0.104238060838904,0.0172946655945719,0.0124084504555703,1.20390481882321,0.339917775363882,0.86733243235285
"Zfp846",0.0498041444849115,0.0783224352527292,0.0433806745666886,0.00841114809729653,1.2038572359018,0.33993415983344,0.86733243235285
"Ube4a",0.0237673319494879,0.0949086957227485,0.0554612669114602,0.012308756777388,1.20385219197801,0.339935896680844,0.86733243235285
"Amelx",-0.0199000669640468,0.00594909017646083,0.0649701586554136,0.0106424755881747,1.20382945803358,0.339943725102403,0.86733243235285
"Mogat1",-0.0308223504085294,0.0854570533922423,-0.0141571381530648,0.00734197765059022,1.20378994435165,0.339957332057241,0.86733243235285
"Dda1",-0.0273710538689335,-0.149979518430855,0.0139632559803639,0.0214861406923334,1.2035283270196,0.340047436840318,0.86733243235285
"Txnrd2",0.046998866445398,-0.0857522657709033,0.0209154996245064,0.0132207849842614,1.20316556523348,0.340172417733539,0.86733243235285
