"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"4930449I24Rik",0.0213687986795244,0.0337080108657766,0.528296042741611,0.604482849571541,0.95698360878381,-5.95687909268081
"Ubc",0.0189863373980118,0.01467485463696,0.52809434477182,0.60461966430063,0.95698360878381,-5.95698469408339
"D6Wsu163e",0.0196333843802065,0.0104813716863733,0.528086690197659,0.604624856811658,0.95698360878381,-5.95698870096205
"BC016579",0.0180137485171424,0.0152411592275036,0.527950391122716,0.604717319503366,0.95698360878381,-5.95706003897035
"Dpp4",-0.0146153940655706,0.0129975954720684,-0.527819262178505,0.60480628143292,0.95698360878381,-5.95712865420706
"Hsbp1",0.0178338827723806,0.0284024224913317,0.527746268136115,0.604855805632968,0.95698360878381,-5.95716684234089
"Tcirg1",-0.0133239138620526,0.0124370785366719,-0.527667640197914,0.604909154485242,0.95698360878381,-5.95720797224954
"Nt5c2",0.0236561415160124,0.0445144178325129,0.527628150106323,0.604935949281757,0.95698360878381,-5.95722862710322
"Morf4l2",0.0159821502974584,0.0118293337571068,0.527389633809279,0.605097799626519,0.95698360878381,-5.95735334870796
"Fam174c",0.0160359536156598,0.0103680794981611,0.527328495609027,0.605139289685274,0.95698360878381,-5.95738530948318
"Brme1",-0.0130090908928152,0.00768329837502661,-0.527288504991199,0.605166429170317,0.95698360878381,-5.95740621315638
"Fgf16",-0.0178676966605739,0.0150987682567533,-0.527282481119713,0.605170517300223,0.95698360878381,-5.95740936178846
"Gm7030",0.0130727846752921,0.00857015343856338,0.527191346434402,0.605232367954908,0.95698360878381,-5.95745699296687
"Tmem63a",-0.0223517833526847,0.0439055327331094,-0.527175762698937,0.605242944526778,0.95698360878381,-5.95746513694885
"Ncf1",0.0414517147054073,0.124575180870174,0.527148032457828,0.60526176507109,0.95698360878381,-5.95747962805958
"Pigr",0.017828332184105,0.0130276205761128,0.527123672841083,0.605278298206015,0.95698360878381,-5.95749235716216
"Cdca4",-0.0167290928598874,0.0146901287719864,-0.527120111503153,0.605280715343094,0.95698360878381,-5.95749421808955
"Ndufs1",0.0152881126144714,0.0107509079045735,0.527006990013547,0.605357495174325,0.95698360878381,-5.9575533218341
"Clk2",0.0156658546826757,0.0101262139315927,0.526980871890427,0.605375223210888,0.95698360878381,-5.95756696629922
"4931406B18Rik",-0.0124691153813707,0.0119686600228896,-0.526803694852994,0.60549549129552,0.95698360878381,-5.95765950879067
"Gsta3",-0.0117506792464808,0.00457106319690252,-0.526666237545501,0.605588805631224,0.95698360878381,-5.95773128433614
"Krtap19-4",-0.0117506792464808,0.00457106319690252,-0.526666237545501,0.605588805631224,0.95698360878381,-5.95773128433614
"Gm12185",0.0122015528158812,0.00342923700754375,0.526653547233878,0.605597420938095,0.95698360878381,-5.95773790987569
"Rcor3",0.0258862512991399,0.0188942540613181,0.526308298845643,0.605831829166462,0.95698360878381,-5.95791810301582
"Gmps",0.021006897602863,0.0254222604500631,0.526236625203705,0.605880497942029,0.95698360878381,-5.95795549686501
"Dctn6",-0.0124963988779523,0.0120845269261638,-0.526212342203146,0.605896987337943,0.95698360878381,-5.95796816477177
"Pnpla8",-0.012570217681104,0.00540535354280409,-0.526181712425966,0.605917786832636,0.95698360878381,-5.95798414284797
"Tex13d",0.0125149312063412,0.00893786288331208,0.526127297334507,0.605954738875689,0.95698360878381,-5.95801252636187
"Ncbp1",-0.0143488080687828,0.0133097191169859,-0.526095178755994,0.605976550385554,0.95698360878381,-5.95802927843901
"Coa8",-0.0250259135216159,0.0378882912051185,-0.525734454358826,0.606221542314309,0.957258876634838,-5.95821735359619
"Tmem240",0.0175401179999911,0.0138772126096493,0.525332444403017,0.606494631171623,0.957491425539132,-5.95842680767704
"Mapk8ip3",0.0245303590063659,0.0275083320294802,0.525309493670948,0.606510223620933,0.957491425539132,-5.95843876073817
"Gfra1",-0.02131252048602,0.0170361404204344,-0.524763046516553,0.606881531155689,0.957965927836617,-5.95872320923569
"Eef1akmt3",0.0204242175482296,0.0141622948088422,0.524377058699264,0.607143874556003,0.958142854253695,-5.95892395983999
"Gm17660",-0.0205708119311995,0.0214928978480916,-0.524109732592737,0.607325599942383,0.958142854253695,-5.95906291146623
"Serpinb6a",-0.0162510106582637,0.0106759473418682,-0.524061033816891,0.607358707704994,0.958142854253695,-5.95908821691182
"Mgp",0.0161386173884392,0.0175572951260212,0.524033894553938,0.60737715865996,0.958142854253695,-5.95910231835867
"Tnks",-0.0346033899890368,0.0671248946995707,-0.523906630803277,0.607463684109369,0.958142854253695,-5.95916843466889
"Aifm2",-0.0190598086027481,0.0293691413544548,-0.523903583421204,0.60746575607017,0.958142854253695,-5.95917001766077
"Mup3",-0.0205016215568702,0.0126763627829928,-0.523790076516041,0.607542933578609,0.958142854253695,-5.95922897358444
"H1f3",-0.0420832667383088,0.90451943209256,-0.523712579470016,0.607595629415443,0.958142854253695,-5.95926921876794
"Wfdc17",-0.0187548587904949,0.00889481013525116,-0.523575569934061,0.607688797555231,0.958142854253695,-5.95934035547165
"Trim12c",0.0139050831295815,0.00588900071055559,0.523487199444239,0.6077488942586,0.958142854253695,-5.95938622877472
