"","groupWnt1.OVX.b1","groupWnt1.OVX.b2","groupWnt1.OVX.b3","groupWnt1.OVX.b4","AveExpr","F","P.Value","adj.P.Val"
"Dpy19l4",-0.0261150319105674,0.0522550107624957,0.0377608257481947,-0.00718371868707943,0.0268856715138697,0.0835534316622717,0.986648173763774,0.999333663217976
"Ankrd29",0.0422807976652018,-0.0118815231823361,0.010922960592077,0.00915214968991503,0.0425726635612813,0.0835321671282879,0.986654535938952,0.999333663217976
"Efhd1",-0.0282794809540386,-0.0305436668223696,-0.0130088980092227,0.00450016446807648,0.0505419100573215,0.0833352773662294,0.986713381715147,0.999333663217976
"Gjb3",-0.0393864093309755,0.0335172463501909,0.0187997817097209,-0.00332748100491757,0.0236620341985765,0.0832068860429025,0.986751694545476,0.999333663217976
"Cacna1g",0.031918547072727,-0.0400716642562957,-0.0164858977542882,0.0151067666333061,0.0216981603896826,0.0831422436840896,0.986770966213319,0.999333663217976
"Gm9789",0.00279180053826576,0.0196745026310207,-0.00443106702709161,-0.0357064437054831,0.0230639905437498,0.0824982973917704,0.986962283544259,0.999333663217976
"Fpr-rs6",0.0262381780390223,-0.0110226840314553,-0.0341640125377482,-0.0046726635273299,0.0274610402959673,0.0824381290692754,0.986980098201816,0.999333663217976
"Pigu",0.031092279711641,0.0189586568505086,-0.000223336176673422,-0.0252485536190277,0.0421510608358732,0.0823550605597709,0.987004675877333,0.999333663217976
"Rab12",-0.0141308323951029,0.0302795319415907,-0.0236622051155698,-0.0127003238262601,0.026509757345804,0.0821126133842631,0.987076294621349,0.999333663217976
"Smarcd3",-0.00803708205358567,0.0138892641724323,0.061504128709202,-0.0028116933406645,0.0531832760915463,0.0819975678796145,0.987110219186683,0.999333663217976
"Clec3b",0.0248617124494492,-0.0447048819583628,-0.0278345390201192,0.000605779971710049,0.0489134362292142,0.0814636039712199,0.987267169526361,0.999333663217976
"Lmo7",-0.0292895494703055,0.0245970698097539,0.0210359717817464,0.0104557047679448,0.0288089053396039,0.0809924012699334,0.987404981088298,0.999333663217976
"Fnip1",0.00345251971159743,0.0166862704516724,0.0438733221162455,0.0200075225978014,0.0276568423654334,0.0809300929747395,0.987423155657302,0.999333663217976
"Zc3h12d",0.0347249713649128,-0.0445981255013863,-0.0277518383291432,0.0151524927642588,0.0541645311376535,0.0808146634306924,0.987456795021961,0.999333663217976
"4931428L18Rik",-0.0410065218252326,0.0185006879931258,-0.0122003752550914,0.00166364372362583,0.0447499453121821,0.0805711521018675,0.987527632959098,0.999333663217976
"Gdf5",-0.00598912895565745,-0.024255051383589,0.00894230460606849,0.0237505380605151,0.0269828189822859,0.0801975919988026,0.987635964339522,0.999333663217976
"Hand1",-0.00628307468089284,-0.0142859999251138,-0.0255396679203529,-0.0230128326500932,0.0181740643331538,0.0801104591540665,0.987661173688238,0.999333663217976
"Znrf4",-0.0309152750220121,0.0177399065421427,0.0497905310419353,0.00366759146315637,0.0499046596067543,0.0797467877260849,0.987766150389284,0.999333663217976
"Ttll12",0.00990718374471601,0.0339645117888036,0.00928715709719911,-0.0198662443999809,0.0370614097369716,0.0796866409059533,0.987783474746508,0.999333663217976
"Stim1",-0.0100154585183264,-0.0197940315625378,-0.0129097683273539,0.0157036527156927,0.00446176470392486,0.0793639692318623,0.987876233317424,0.999333663217976
"Trpc3",0.0105330092494935,-0.0174190406823691,-0.0548546432520548,-0.0226052963360347,0.0476640577355177,0.0792801484828315,0.987900279065717,0.999333663217976
"Dvl2",0.0388016721024833,-0.0339198574888281,-0.00482105413727153,0.0274022034231249,0.0348328422651142,0.0791397408410012,0.987940511490956,0.999333663217976
"Nhp2",-0.0340547708379415,-0.0158429712489358,-0.0115433981058752,0.0148825869827701,0.0638729330426781,0.0791262137550917,0.987944384469575,0.999333663217976
"Taar2",0.0111169871589725,0.0105510397831422,-0.00652544209446579,-0.0408836705951801,0.0511896220024362,0.0790042428793997,0.987979281886484,0.999333663217976
"Slc16a14",0.0171070486473132,-0.0415653678152198,-0.0401040746925243,-0.0199098924868403,0.0520937202674025,0.0789908645573189,0.987983106918901,0.999333663217976
"Hspb3",0.0283178190738794,-0.0460699302394777,-0.0190904764855724,0.02367763258976,0.0519475359857571,0.0789153101432695,0.988004698955072,0.999333663217976
"Defb12",-0.0149859402265418,0.0151099876142025,0.00467130085723037,0.0168388125188181,0.0222723116193817,0.0786760075893687,0.988072975711713,0.999333663217976
"Prm2",0.0351054349394627,-0.0158318146712886,-0.0102276768739144,-0.00405343251017826,0.0161005810628525,0.078033253534052,0.988255523647968,0.999333663217976
